title, author, price, rating
"Data Science with Jupyter: Master Data Science skills with easy-to-follow Python examples","by Prateek Gupta",11.73,4.0
"Algorithms: An Introduction to The Computer Science & Artificial Intelligence Used to Solve Human Decisions, Advance Technology, Optimize Habits, Learn Faster & Your Improve Life","by Trust Genics",21.77,4.0
"Machine Learning for Beginners: Learn to Build Machine Learning Systems Using Python (English Edition)","by Harsh Bhasin",42.17,3.1
"Amazing Trains: Part 2: A Giant Activity & Coloring Book","by Lindsay Turlan",13.37,
"Machine Learning in Business: An Introduction to the World of Data Science","by John C Hull",42.15,
"Python for Data Analysis: A Practical Guide for Manipulating, Processing, Cleaning, and Crunching Data Sets in Python. How to Effectively Solve a Wide Range of Data Analysis Problems.","by Dylan Penny",23.36,4.3
"Python for Data Science: A Guide to Learn in Depth How to Use This Programming Language to Reorder Data While Remaining Focused on Your Specific Purposes.","by Dylan Penny",22.58,4.8
"Killer Visual Strategies: Engage Any Audience, Improve Comprehension, and Get Amazing Results Using Visual Communication","by Guy Kawasaki and Amy Balliett",33.25,4.5
"Entrepreneur Mindset: Entrepreneurial Leadership, Management, Marketing, Finance, Genius Mindset, Time, Practical Operating System, Managerial Thinking Approach, Behaviour & Product Development.","by Jerry Ramonyai",0.00,
"Algorithms in C, Parts 1-4: Fundamentals, Data Structures, Sorting, Searching","by Robert Sedgewick",81.75,4.1
"Fullstack D3 and Data Visualization: Build beautiful data visualizations with D3","by Amelia Wattenberger and Nate Murray",97.90,4.1
"The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science","by Alex Gorelik",79.99,4.2
"HBR Guide to Data Analytics Basics for Managers (HBR Guide Series)","by Harvard Business Review",19.25,4.4
"Machine Learning: The New AI","by Ethem Alpaydin",23.25,4.2
"Weight loss: Diet Motivation, Body Image, Fasting Diet, Exercise, Nutrition, Fitness Explained, Workouts, Weight Lifting, Fat Loss Basics, Training Guide, Health, Relationship and Sexuality.","by Jerry Ramonyai",0.00,
"Data Structures and Algorithms in Python","by Roberto Tamassia, Michael H. Goldwasser, et al.",154.95,4.2
"AWS Certified Data Analytics Study Guide: Specialty (DAS-C01) Exam","by Asif Abbasi",62.25,4.2
"Women in Science: 50 Fearless Pioneers Who Changed the World","by Rachel Ignotofsky",23.09,4.8
"Data Science Projects with Python: A case study approach to successful data science projects using Python, pandas, and scikit-learn","by Stephen Klosterman",50.59,4.4
"Pattern Recognition: 13th Mexican Conference, MCPR 2021, Mexico City, Mexico, June 23–26, 2021, Proceedings (Lecture Notes in Computer Science Book 12725)","by Edgar Roman-Rangel, Ángel Fernando Kuri-Morales, et al.",84.15,
"Ecommerce: Ultimate Guide To Ecommerce Growth, Marketing, Business Analytics, Website Development, SEO, Programming, Management, Power, Tools, Logistics, Niche, Retail Operations & Dropshipping.","by Jerry Ramonyai",0.00,
"Excel 2013 For Dummies","by Greg Harvey",17.35,4.3
"Data Feminism","by Catherine D'Ignazio and Lauren F. Klein",,4.9
"Python For Beginners: Learn From Scratch the Most Used Programming Language of the Moment in Just 15 Days.","by Dylan Penny",23.36,4.0
"Big History - A Journey From The Big Bang To The Modern World And Into The Future","by Mr Giuseppe Ferrone",43.99,
"Quantum Physics For Beginners: The Step by Step Guide To Discover All The Mind-Blowing Secrets Of Quantum Physics And How You Unknowingly Use Its Most Famous Theories Every Day","by Michael Rutherford",20.99,4.8
"Not Necessarily Rocket Science: A Beginner's Guide to Life in the Space Age","by Kellie Gerardi",15.10,4.8
"Targeted: The Cambridge Analytica Whistleblower's Inside Story of How Big Data, Trump, and Facebook Broke Democracy and How It Can Happen Again","by Brittany Kaiser",39.93,4.5
"Measuring Data Quality for Ongoing Improvement: A Data Quality Assessment Framework","by Laura Sebastian-Coleman",77.30,4.4
"Pandas 1.x Cookbook: Practical recipes for scientific computing, time series analysis, and exploratory data analysis using Python, 2nd Edition","by Matt Harrison and Theodore Petrou",51.99,4.2
"Personality: Motivation, Mindfulness, Personal Development, Values, Boundaries, Growth, Knowledge, Lifestyle, Mindset, Ethics 101, Meditation Essentials, Health, Exercise, Fitness Guide & Success.","by Jerry Ramonyai",0.00,
"An Introduction to Generalized Linear Models","by Annette J. Dobson and Adrian G. Barnett",122.50,4.2
"Python for Finance Cookbook: Over 50 recipes for applying modern Python libraries to financial data analysis","by Eryk Lewinson",51.99,4.3
"Statistics for the Trading Floor: Data Science for Investing","by Patrick Boyle",40.03,4.1
"Design Thinking: Design Thinking Toolbox, Product Development Toolkit, Methodology, Training, Creative Problem Solving, Research, Systems, Patterns, Business Strategy, Life Playbook & Sprint Coach.","by Jerry Ramonyai",0.00,
"Applied Predictive Modeling","by Max Kuhn and Kjell Johnson",144.63,4.6
"Building Analytics Teams: Harnessing analytics and artificial intelligence for business improvement","by John K. Thompson and Douglas B. Laney",38.99,4.4
"Expert Data Modeling with Power BI: Get the best out of Power BI by building optimized data models for reporting and business needs","by Soheil Bakhshi and Christian Wade",64.99,
"Stanley Thornes Primary Maths - Level 2 Support Data Handling Textbook","by Sean McArdle, Barry Phillips, et al.",68.80,
"An Introduction to Statistical Learning with Applications in R","by James; Witten; Hastie; Tibshirani",39.89,4.7
"Organizational Development: Organizational Strategy, Structure, Design, Culture, Leadership, Change Management, Communication, People Behavior, Managing, Ethics, Efficiency, Value & Intelligence.","by Jerry Ramonyai",0.00,
"The UX Book: Designing a Quality User Experience: Agile UX Design for a Quality User Experience","by Rex Hartson and Pardha Pyla",76.25,4.3
"Data Science for Executives: Leveraging Machine Intelligence to Drive Business ROI","by Nir Kaldero",40.01,4.1
"Foundation Mathematics for Computer Science: A Visual Approach","by John Vince",74.99,4.2
"DAMA-DMBOK: Data Management Body of Knowledge: 2nd Edition","by DAMA International",94.35,4.7
"Data Analysis Using SQL and Excel","by Gordon S. Linoff",64.35,4.4
"Leadership: Problem Solving, Decision Making, Critical Thinking, Management, Self Discipline, Skill Acquisition, Conflict Resolution, Mentoring, Coaching, Communication, Teamwork and People Skills.","by Jerry Ramonyai",0.00,
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming","by Eric Matthes",,4.7
"Microsoft Power BI Complete Reference: Bring your data to life with the powerful features of Microsoft Power BI","by Devin Knight, Brian Knight, et al.",76.99,4.2
"Agile Data Warehouse Design: Collaborative Dimensional Modeling, from Whiteboard to Star Schema","by Lawrence Corr and Jim Stagnitto",40.34,4.6
"Recommender Systems: The Textbook","by Charu C. Aggarwal",95.94,4.4
"Resume Writing, Job Hunting & Interviews.: CV Writing, Job Search, Interview Skills, Techniques, Questions, Answers, Career Development, Advice, Change, Growth, Retirement Planning & Success Magic.","by Jerry Ramonyai",0.00,
"Data Science for Supply Chain Forecasting","by Nicolas Vandeput",43.45,5.0
"Process Mining: Data Science in Action","by Wil M. P. van der Aalst",99.00,4.5
"The Data WarehouseÂ ETL Toolkit: Practical Techniques for Extracting, Cleaning, Conforming, and Delivering Data","by Ralph Kimball and Joe Caserta",72.38,4.4
"Mastering Microsoft Power BI: Expert techniques for effective data analytics and business intelligence","by Brett Powell",71.49,4.3
"All The Things I Was Right About: Funny Blank Lined Journal Coworker Notebook , planner for employees,Great Coworker Birthday Gift Idea For men and women: 6x9 inches 110pages","by 7ATABE Store",8.91,
"KOTLIN AND PYTORCH BASICS: FOR ABSOLUTE BEGINNERS","by TAM SEL",0.00,
"The Design of Everyday Things: Revised and Expanded Edition","by Don Norman",20.25,4.6
"Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language","by Dylan Penny",35.06,4.1
"Algorithms: An Introduction to The Computer Science & Artificial Intelligence Used to Solve Human Decisions, Advance Technology, Optimize Habits, Learn Faster & Your Improve Life","by Trust Genics",21.77,4.0
"Data Science with Jupyter: Master Data Science skills with easy-to-follow Python examples","by Prateek Gupta",11.73,4.0
"Dino Dana: Dino Field Guide: Pterosaurs and Other Prehistoric Creatures! (Dinosaurs for Kids, Science Book for Kids, Fossils, Prehistoric)","by J.J. Johnson, Colleen Russo Johnson, et al.",15.19,4.9
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL","by Walter Shields",36.47,4.5
"Amazing Trains: Part 2: A Giant Activity & Coloring Book","by Lindsay Turlan",13.37,
"Machine Learning in Business: An Introduction to the World of Data Science","by John C Hull",42.15,
"Python for Data Analysis: A Practical Guide for Manipulating, Processing, Cleaning, and Crunching Data Sets in Python. How to Effectively Solve a Wide Range of Data Analysis Problems.","by Dylan Penny",23.36,4.3
"Agile Scrum: Agile Methodology Illustrated, Estimating, Planning, Testing, Product Owner Mindset, Program Management Leader, Retrospectives, Good Teams, Great People Coach & Lean Business Concepts.","by Jerry Ramonyai",0.00,
"Agile Data Warehouse Design: Collaborative Dimensional Modeling, from Whiteboard to Star Schema","by Lawrence Corr and Jim Stagnitto",40.34,4.6
"Recommender Systems: The Textbook","by Charu C. Aggarwal",95.94,4.4
"Data Science for Supply Chain Forecasting","by Nicolas Vandeput",43.45,5.0
"Process Mining: Data Science in Action","by Wil M. P. van der Aalst",99.00,4.5
"The Data WarehouseÂ ETL Toolkit: Practical Techniques for Extracting, Cleaning, Conforming, and Delivering Data","by Ralph Kimball and Joe Caserta",72.38,4.4
"Entrepreneur Mindset: Entrepreneurial Leadership, Management, Marketing, Finance, Genius Mindset, Time, Practical Operating System, Managerial Thinking Approach, Behaviour & Product Development.","by Jerry Ramonyai",0.00,
"Mastering Microsoft Power BI: Expert techniques for effective data analytics and business intelligence","by Brett Powell",71.49,4.3
"People I Want to Punch In The Throat: Blank Lined Notebook, Great Funny Gift, Perfect for Notes and Journal, Work Gag Appreciation Gift (6"x9" - 120 pages)","by Funny Notbook",9.71,
"The Design of Everyday Things: Revised and Expanded Edition","by Don Norman",20.25,4.6
"Naked Statistics: Stripping the Dread From the Data","by Charles Wheelan",11.35,4.6
"Weight loss: Diet Motivation, Body Image, Fasting Diet, Exercise, Nutrition, Fitness Explained, Workouts, Weight Lifting, Fat Loss Basics, Training Guide, Health, Relationship and Sexuality.","by Jerry Ramonyai",0.00,
"Introduction to Algorithms 3ed","by Thomas Cormen, Charles Leiserson, et al.",58.90,4.4
"Fraud Analytics Using Descriptive, Predictive, and Social Network Techniques: A Guide to Data Science for Fraud Detection","by Bart Baesens, Veronique Van Vlasselaer, et al.",78.16,4.0
"Computer Science Distilled: Learn the Art of Solving Computational Problems","by Wladston Ferreira Filho and Raimondo Pictet",36.30,4.5
"Data and Reality: A Timeless Perspective on Perceiving and Managing Information in Our Imprecise World, 3rd Edition","by William Kent and Steve Hoberman",59.40,3.9
"Python For Beginners: Learn From Scratch the Most Used Programming Language of the Moment in Just 15 Days.","by Dylan Penny",23.36,4.0
"Python for Data Science: A Guide to Learn in Depth How to Use This Programming Language to Reorder Data While Remaining Focused on Your Specific Purposes.","by Dylan Penny",22.58,4.8
"Big History - A Journey From The Big Bang To The Modern World And Into The Future","by Mr Giuseppe Ferrone",43.99,
"Quantum Physics For Beginners: The Step by Step Guide To Discover All The Mind-Blowing Secrets Of Quantum Physics And How You Unknowingly Use Its Most Famous Theories Every Day","by Michael Rutherford",20.99,4.8
"Ecommerce: Ultimate Guide To Ecommerce Growth, Marketing, Business Analytics, Website Development, SEO, Programming, Management, Power, Tools, Logistics, Niche, Retail Operations & Dropshipping.","by Jerry Ramonyai",0.00,
"Database Internals: A Deep Dive Into How Distributed Data Systems Work","by Alex Petrov",70.24,4.6
"Solving Problems and Handling Data: Y5/P6","by David Clemson Clemson",69.24,
"Truthful Art, The: Data, Charts, and Maps for Communication","by Alberto Cairo",30.90,4.6
"Personality: Motivation, Mindfulness, Personal Development, Values, Boundaries, Growth, Knowledge, Lifestyle, Mindset, Ethics 101, Meditation Essentials, Health, Exercise, Fitness Guide & Success.","by Jerry Ramonyai",0.00,
"Structure And Interpretation O","by Harold Abelson, Gerald Sussman, et al.",96.47,4.7
"Collecting Qualitative Data: A Practical Guide to Textual, Media and Virtual Techniques","by Virginia Braun, Victoria Clarke, et al.",54.95,4.7
"Cloud Computing For Dummies","by Judith S. Hurwitz and Daniel Kirsch",43.25,4.3
"Design Thinking: Design Thinking Toolbox, Product Development Toolkit, Methodology, Training, Creative Problem Solving, Research, Systems, Patterns, Business Strategy, Life Playbook & Sprint Coach.","by Jerry Ramonyai",0.00,
"Bitcoin and Cryptocurrency Technologies: A Comprehensive Introduction","by Arvind Narayanan, Joseph Bonneau, et al.",68.95,4.5
"Building Data Centers with VXLAN BGP EVPN: A Cisco NX-OS Perspective","by Lukas Krattiger, Shyam Kapadia, et al.",65.63,4.5
"Proofs from THE BOOK","by Martin Aigner, Günter M. Ziegler, et al.",136.56,4.8
"Grokking Algorithms: An Illustrated Guide for Programmers and Other Curious People","by Aditya Bhargava",54.34,4.6
"Organizational Development: Organizational Strategy, Structure, Design, Culture, Leadership, Change Management, Communication, People Behavior, Managing, Ethics, Efficiency, Value & Intelligence.","by Jerry Ramonyai",0.00,
"Introduction to Machine Learning with Python: A Guide for Data Scientists","by Sarah Guido",56.45,4.5
"The Chief Data Officer Management Handbook: Set Up and Run an Organization's Data Supply Chain","by Martin Treder",49.75,4.5
"Doing Bayesian Data Analysis 2E: A Tutorial with R, Jags, and Stan","by John Kruschke",105.95,4.6
"The Python Workshop: Learn to code in Python and kickstart your career in software development or data science","by Andrew Bird, Dr Lau Cher Han, et al.",38.99,4.5
"Leadership: Problem Solving, Decision Making, Critical Thinking, Management, Self Discipline, Skill Acquisition, Conflict Resolution, Mentoring, Coaching, Communication, Teamwork and People Skills.","by Jerry Ramonyai",0.00,
"A Primer on Scientific Programming with Python 5e: 6","by Langtangen H P",78.52,4.6
"Salesforce Architect's Handbook: A Comprehensive End-to-End Solutions Guide","by Dipanker Jyoti and James A. Hutcherson",73.92,4.5
"Analytics: Data Science, Data Analysis and Predictive Analytics for Business","by Daniel Covington",37.39,3.7
"Resume Writing, Job Hunting & Interviews.: CV Writing, Job Search, Interview Skills, Techniques, Questions, Answers, Career Development, Advice, Change, Growth, Retirement Planning & Success Magic.","by Jerry Ramonyai",0.00,
"Beautiful Data: A History of Vision and Reason since 1945","by Orit Halpern",39.60,4.8
"Statistics (the Easier Way) with R, 3rd Ed: an informal text on statistics and data science","by N M Radziwill and M C Benton",54.33,4.2
"Data Wrangling with R","by Ph.D. Bradley C. Boehmke",38.17,4.8
"Python for Data Science: 2 Books in 1. A Practical Beginner's Guide to learn Python Programming, introducing into Data Analytics, Machine Learning, Web Development, with Hands-on Projects","by ERICK THOMPSON",25.25,5.0
"Non-Invasive Data Governance: The Path of Least Resistance and Greatest Success","by Robert S. Seiner",48.46,4.6
"Python for Absolute Beginners: Rocket through the basics in an afternoon (Python for Data Science Book 1)","by Oliver Theobald",2.76,
"KOTLIN AND PYTORCH BASICS: FOR ABSOLUTE BEGINNERS","by TAM SEL",0.00,
"Qualitative Data Analysis with NVivo 3ed","by Kristi Jackson",66.49,4.6
"The Elephant in the Fridge: Guided Steps to Data Vault Success through Building Business-Centered Models","by John Giles",52.06,4.2
"Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language","by Dylan Penny",35.06,4.1
"Not Necessarily Rocket Science: A Beginner's Guide to Life in the Space Age","by Kellie Gerardi",15.10,4.8
"The Workshop Survival Guide: How to design and teach educational workshops that work every time","by Rob Fitzpatrick, Devin Hunt, et al.",11.99,4.6
"Data Science with Jupyter: Master Data Science skills with easy-to-follow Python examples","by Prateek Gupta",11.73,4.0
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL","by Walter Shields",36.47,4.5
"Amazing Trains: Part 2: A Giant Activity & Coloring Book","by Lindsay Turlan",13.37,
"Machine Learning in Business: An Introduction to the World of Data Science","by John C Hull",42.15,
"Python for Data Analysis: A Practical Guide for Manipulating, Processing, Cleaning, and Crunching Data Sets in Python. How to Effectively Solve a Wide Range of Data Analysis Problems.","by Dylan Penny",23.36,4.3
"Cribsheet: A Data-Driven Guide to Better, More Relaxed Parenting, from Birth to Preschool","by Emily Oster",19.31,4.7
"Data Science for Marketing Analytics: Achieve your marketing goals with the data analytics power of Python","by Tommy Blanchard, Debasish Behera, et al.",57.19,4.1
"Fluid Mechanic: The Computational Prowess In Fluid Flow: Computational Fluid Dynamics Overview","by Rosalind Christmann",0.00,
"Interactive Web-Based Data Visualization with R, plotly, and shiny","by Carson Sievert",123.83,4.8
"Data Analysis with R: Write Your Own Functions and Simulations","by Garrett Grolemund",54.05,4.5
"Privacy is Power: Why and How You Should Take Back Control of Your Data","by Carissa Véliz",23.09,4.5
"Statistics 101: From Data Analysis and Predictive Modeling to Measuring Distribution and Determining Probability, Your Essential Guide to Statistics","by David Borman",20.25,4.4
"CFD Model: Get To Know About Computational Fluid Dynamics: Computational Fluid Dynamics","by Yung Hutmacher",0.00,
"Learning Spark: Lightning-Fast Data Analytics","by Jules Damji",73.22,4.8
"Data Matching: Concepts and Techniques for Record Linkage, Entity Resolution, and Duplicate Detection","by Peter Christen",58.99,4.2
"Immune: The new book from Kurzgesagt - a gorgeously illustrated deep dive into the immune system","by Philipp Dettmer",19.99,
"Python One-Liners: Write Concise, Eloquent Python Like a Professional","by Christian Mayer",50.05,4.8
"Deep Learning Illustrated: A Visual, Interactive Guide to Artificial Intelligence","by Jon Krohn",62.25,4.5
"You Should Test That: Conversion Optimization for More Leads, Sales and Profit or The Art and Science of Optimized Marketing","by Chris Goward",44.33,4.6
"The noble Polish Zielonka family. Die adlige polnische Familie Zielonka. (French Edition)","French editionby Werner Zurek",5.49,
"Data Visualisation with R: 111 Examples","by Thomas Rahlf",95.19,4.5
"Python For Beginners: Learn From Scratch the Most Used Programming Language of the Moment in Just 15 Days.","by Dylan Penny",23.36,4.0
"Python for Data Science: A Guide to Learn in Depth How to Use This Programming Language to Reorder Data While Remaining Focused on Your Specific Purposes.","by Dylan Penny",22.58,4.8
"Big History - A Journey From The Big Bang To The Modern World And Into The Future","by Mr Giuseppe Ferrone",43.99,
"Quantum Physics For Beginners: The Step by Step Guide To Discover All The Mind-Blowing Secrets Of Quantum Physics And How You Unknowingly Use Its Most Famous Theories Every Day","by Michael Rutherford",20.99,4.8
"Dispatches from the Vaccine Wars: Fighting for Human Freedom During the Great Reset (Children’s Health Defense)","by Christopher A. Shaw",28.99,
"Python for Finance 2e: Mastering Data-Driven Finance","by Yves Hilpisch",77.00,4.6
"Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language","by Dylan Penny",35.06,4.1
"Not Necessarily Rocket Science: A Beginner's Guide to Life in the Space Age","by Kellie Gerardi",15.10,4.8
"The Workshop Survival Guide: How to design and teach educational workshops that work every time","by Rob Fitzpatrick, Devin Hunt, et al.",11.99,4.6
"Data Science with Jupyter: Master Data Science skills with easy-to-follow Python examples","by Prateek Gupta",11.73,4.0
